Ca
1	
T	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-fH	delta-fG	logKf	
100	19.504	15.967	63.525	-4.756	0	0	0	s
200	24.542	31.489	43.924	-2.487	0	0	0	s
298.15	25.929	41.588	41.588	0	0	0	0	s
300	25.946	41.749	41.589	0.048	0	0	0	s
400	26.868	49.322	42.615	2.683	0	0	0	s
500	28.487	55.487	44.59	5.448	0	0	0	s
600	30.382	60.846	46.861	8.391	0	0	0	s
700	32.406	65.68	49.21	11.529	0	0	0	s
716	32.737	66.416	49.586	12.051	0	0	0	s
716	31.503	67.715	49.586	12.981	0	0	0	s			
800	33.818	71.335	51.681	15.723	0	0	0	s
900	36.713	75.484	54.097	19.249	0	0	0	s
1000	39.706	79.507	56.437	23.069	0	0	0	s
1100	42.763	83.434	58.714	27.192	0	0	0	s
1115	43.226	84.017	59.05	27.837	0	0	0	s
1115	35	91.676	59.05	36.377	0	0	0	l
1200	35	94.247	61.453	39.352	0	0	0	l
1300	35	97.049	64.085	42.852	0	0	0	l
1400	35	99.642	66.533	46.352	0	0	0	l
1500	35	102.057	68.822	49.852	0	0	0	l
1600	35	104.316	70.971	53.352	0	0	0	l
1700	35	106.438	72.995	56.852	0	0	0	l
1773.658	35	107.922	74.415	59.43	0	0	0	l	
1773.658	20.837	191.956	74.415	208.477 0	0	0	g
1800	20.845	192.263	76.138	209.026	0	0	0	g
1900	20.888	193.391	82.279	211.112	0	0	0	g
2000	20.953	194.464	87.862	213.204	0	0	0	g
2100	21.046	195.489	92.963	215.304	0	0	0	g
2200	21.173	196.47	97.646	217.415	0	0	0	g
2300	21.343	197.415	101.963	219.54	0	0	0	g
2400	21.561	198.328	105.959	221.685	0	0	0	g
2500	21.836	199.214	109.672	223.854	0	0	0	g
2600	22.173	200.076	113.132	226.054	0	0	0	g
2700	22.578	200.921	116.368	228.291	0	0	0	g
2800	23.057	201.75	119.403	230.572	0	0	0	g
2900	23.614	202.569	122.257	232.905	0	0	0	g
3000	24.251	203.38	124.947	235.298	0	0	0	g
3100	24.97	204.186	127.49	237.758	0	0	0	g
3200	25.772	204.992	129.9	240.295	0	0	0	g
3300	26.655	205.798	132.187	242.915	0	0	0	g
3400	27.618	206.608	134.364	245.628	0	0	0	g
3500	28.657	207.423	136.44	248.441	0	0	0	g
3600	29.767	208.246	138.423	251.362	0	0	0	g
3700	30.944	209.077	140.321	254.397	0	0	0	g
3800	32.18	209.919	142.142	257.553	0	0	0	g
3900	33.469	210.771	143.891	260.835	0	0	0	g
4000	34.801	211.635	145.573	264.248	0	0	0	g
4100	36.169	212.511	147.195	267.796	0	0	0	g
4200	37.564	213.4	148.761	271.482	0	0	0	g
4300	38.977	214.3	150.275	275.309	0	0	0	g
4400	40.389	215.212	151.74	279.275	0	0	0	g
4500	41.755	216.131	153.161	283.367	0	0	0	g
4600	43.135	217.063	154.54	287.607	0	0	0	g
4700	44.507	218.005	155.88	291.99	0	0	0	g
4800	45.851	218.956	157.184	296.508	0	0	0	g
4900	47.16	219.915	158.454	301.159	0	0	0	g
5000	48.426	220.881	159.693	305.938	0	0	0	g
5200	50.805	222.827	162.084	315.861	0	0	0	g
5400	52.964	224.785	164.37	326.242	0	0	0	g
5600	54.857	226.745	166.562	337.021	0	0	0	g
5800	56.5	228.699	168.671	348.161	0	0	0	g
6000	57.878	230.639	170.705	359.603	0	0	0	g
